+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| IOTAUSDT     | 0.0006586                 | 95.87         | 0.01169          | 0.009961        | 0.1979            | 0.9187                       | 0.004497        | 713.96 | -56012.50065856152  |
| KAVAUSDT     | 0.0006361                 | 88.68         | 0.01432          | 0.01499         | 0.2466            | 0.8671                       | 0.006326        | 713.96 | -56012.50063605218  |
| KNCUSDT      | 0.0006175                 | 81.65         | 0.01574          | 0.01306         | 0.008408          | 0.9041                       | 0.003397        | 713.96 | -56012.50061746608  |
| BTCUSDT      | 0.0006167                 | 93.28         | 0.01043          | 0.0117          | 0.2987            | 0.8697                       | 0.009465        | 713.96 | -56012.50061674975  |
| TRBUSDT      | 0.0005083                 | 89.17         | 0.01848          | 0.01662         | 0.2534            | 0.8525                       | 0.005877        | 713.96 | -56012.50050828862  |
| CVCUSDT      | 0.0004436                 | 94.12         | 0.01125          | 0.01701         | 0.06454           | 0.7389                       | 0.009805        | 713.96 | -56012.50044364986  |
| SRMUSDT      | 0.0004232                 | 78.78         | 0.01438          | 0.01517         | 0.178             | 0.7566                       | 0.00689         | 713.96 | -56012.50042322751  |
| TRXUSDT      | 0.0004173                 | 66.37         | 0.006883         | 0.006879        | 0.04768           | 0.9184                       | 0.003888        | 713.96 | -56012.500417317526 |
| FLMUSDT      | 0.0003768                 | 84.27         | 0.01899          | 0.01654         | 0.2226            | 0.8978                       | 0.004441        | 713.96 | -56012.5003768249   |
| SCUSDT       | 0.0002633                 | 81.72         | 0.01306          | 0.01797         | 0.02959           | 0.8024                       | 0.008192        | 713.96 | -56012.50026332654  |
| BTSUSDT      | 0.0001077                 | 86.37         | 0.01701          | 0.0138          | 0.13              | 0.917                        | 0.003625        | 713.96 | -56012.500107686836 |
