+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| SNXUSDT      | 0.001805                  | 40.9          | 0.009359         | 0.01364         | 0.2699            | 0.8933                       | 0.008137        | 699.96 | -56012.50180475734  |
| DARUSDT      | 0.001804                  | 95.4          | 0.01328          | 0.01268         | 0.1246            | 0.8602                       | 0.007842        | 336.83 | -56012.50180427937  |
| CHZUSDT      | 0.001798                  | 62.92         | 0.007624         | 0.01652         | 0.1735            | 0.8161                       | 0.008162        | 699.96 | -56012.50179847947  |
| YFIUSDT      | 0.001755                  | 85.55         | 0.01072          | 0.01255         | 0.2549            | 0.8534                       | 0.008417        | 699.96 | -56012.501755157864 |
| KSMUSDT      | 0.001746                  | 68.07         | 0.01052          | 0.01966         | 0.2394            | 0.8828                       | 0.009096        | 699.96 | -56012.50174628968  |
| RLCUSDT      | 0.001731                  | 76.6          | 0.01629          | 0.01876         | 0.2303            | 0.8106                       | 0.009815        | 699.96 | -56012.50173118425  |
| AXSUSDT      | 0.001715                  | 83.45         | 0.01515          | 0.01208         | 0.2864            | 0.8625                       | 0.007833        | 699.96 | -56012.501715222024 |
| C98USDT      | 0.0017                    | 74.48         | 0.01545          | 0.01325         | 0.1141            | 0.85                         | 0.008869        | 584.83 | -56012.50170004023  |
| RENUSDT      | 0.001696                  | 51.12         | 0.01035          | 0.02329         | 0.1353            | 0.8085                       | 0.009658        | 699.96 | -56012.501696282954 |
| PEOPLEUSDT   | 0.001691                  | 74.1          | 0.0107           | 0.01319         | 0.2019            | 0.7442                       | 0.007351        | 462.79 | -56012.50169101333  |
| API3USDT     | 0.001665                  | 77.17         | 0.01277          | 0.01462         | 0.1944            | 0.8867                       | 0.009003        | 402.83 | -56012.501664507945 |
| MKRUSDT      | 0.001661                  | 70.95         | 0.01126          | 0.01143         | 0.2855            | 0.9147                       | 0.00821         | 699.96 | -56012.50166137055  |
| FTMUSDT      | 0.00166                   | 75.77         | 0.01254          | 0.01318         | 0.25              | 0.8966                       | 0.008699        | 699.96 | -56012.50166033195  |
| ENSUSDT      | 0.001647                  | 82.65         | 0.01064          | 0.009951        | 0.2519            | 0.9201                       | 0.00607         | 486.83 | -56012.50164737317  |
| VETUSDT      | 0.00164                   | 61.45         | 0.009118         | 0.01491         | 0.2712            | 0.8744                       | 0.009007        | 699.96 | -56012.50164028788  |
| 1INCHUSDT    | 0.001639                  | 81.77         | 0.01388          | 0.01875         | 0.1376            | 0.8151                       | 0.0097          | 699.96 | -56012.50163855485  |
| ONEUSDT      | 0.001621                  | 63.37         | 0.009818         | 0.01393         | 0.1986            | 0.7266                       | 0.00841         | 699.96 | -56012.50162081726  |
| RVNUSDT      | 0.001606                  | 92.07         | 0.01204          | 0.01653         | 0.225             | 0.8541                       | 0.009528        | 699.96 | -56012.501605868616 |
| WAVESUSDT    | 0.0016                    | 76.65         | 0.01305          | 0.01545         | 0.2619            | 0.8671                       | 0.008483        | 699.96 | -56012.50160037013  |
| ALGOUSDT     | 0.001594                  | 64.0          | 0.01012          | 0.01392         | 0.1965            | 0.8149                       | 0.008931        | 699.96 | -56012.50159421553  |
| OMGUSDT      | 0.001586                  | 66.2          | 0.009404         | 0.01532         | 0.2112            | 0.8797                       | 0.009102        | 699.96 | -56012.501586422935 |
