+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| UNFIUSDT     | 0.0008506                 | 85.82         | 0.03261          | 0.03006         | 0.6304            | 0.8263                       | 0.009741        | 720.96 | -52702.767926952256 |
| BLZUSDT      | 0.0006876                 | 56.62         | 0.01137          | 0.01745         | 0.6375            | 0.8263                       | 0.009895        | 720.96 | -52637.19855372499  |
| LITUSDT      | 0.0006476                 | 44.17         | 0.01219          | 0.01914         | 0.5929            | 0.7996                       | 0.01091         | 720.96 | -52175.216058156824 |
| UNIUSDT      | 0.0003338                 | 66.93         | 0.01165          | 0.0206          | 0.6021            | 0.7362                       | 0.01106         | 720.96 | -51928.750195746885 |
| KAVAUSDT     | 0.0003123                 | 60.3          | 0.01151          | 0.01679         | 0.7646            | 0.8027                       | 0.009408        | 720.96 | -51366.27776161884  |
| MTLUSDT      | 0.0004122                 | 53.8          | 0.01145          | 0.01583         | 0.8238            | 0.8093                       | 0.008959        | 720.96 | -50774.100814784615 |
| BTCUSDT      | 0.000193                  | 249.2         | 0.01349          | 0.0167          | 0.6634            | 0.8138                       | 0.01101         | 720.96 | -49835.01307395518  |
| BNBUSDT      | 0.0001497                 | 105.2         | 0.009431         | 0.01614         | 0.9957            | 0.7597                       | 0.008917        | 720.96 | -48963.86168773687  |
| FLMUSDT      | -0.0006239                | 182.0         | 0.02583          | 0.02536         | 1.125             | 0.7523                       | 0.009808        | 720.96 | -46898.81566587667  |
| ALICEUSDT    | 0.0002306                 | 60.37         | 0.01124          | 0.02678         | 0.5715            | 0.6573                       | 0.01267         | 720.96 | -46356.05281349866  |
| RENUSDT      | -0.0008878                | 56.27         | 0.01272          | 0.02307         | 1.019             | 0.7424                       | 0.01286         | 720.96 | -45958.1862232532   |
| STMXUSDT     | -8.517e-05                | 87.12         | 0.01316          | 0.02198         | 1.327             | 0.7623                       | 0.01272         | 720.96 | -43021.290683822735 |
| ZRXUSDT      | -0.0001891                | 45.35         | 0.01271          | 0.02208         | 1.348             | 0.7711                       | 0.01264         | 720.96 | -42895.15223344945  |
| TRBUSDT      | -0.0005977                | 260.9         | 0.0255           | 0.02669         | 1.027             | 0.7018                       | 0.01672         | 720.96 | -40376.58866353565  |
| BELUSDT      | 0.0005325                 | 56.55         | 0.01231          | 0.02951         | 0.9723            | 0.6542                       | 0.01447         | 720.96 | -40234.14136073003  |
| LINAUSDT     | -0.001074                 | 179.7         | 0.02118          | 0.01817         | 1.189             | 0.7566                       | 0.01684         | 720.96 | -39450.55072424512  |
| KSMUSDT      | 0.0004489                 | 52.52         | 0.0141           | 0.03488         | 0.6668            | 0.6186                       | 0.01708         | 720.96 | -37111.33576420619  |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                         short                                                                                          |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score    |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| NKNUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| COMPUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| FILUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| SUSHIUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| TRBUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| RENUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| XRPUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| EOSUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| 1INCHUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| MTLUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| AXSUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| CHRUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| KSMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| ATOMUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| ZRXUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| TRXUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| BATUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| CELRUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| REEFUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| MATICUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| BALUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| SKLUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| RUNEUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| CTKUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| NEARUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| SXPUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| WAVESUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| OMGUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| HBARUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| 1000SHIBUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 711.25 | -18040.0 |
| FLMUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| ALGOUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| ONTUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| ANKRUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| RSRUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| ZENUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
