+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| IOTXUSDT    | 0.001236      | 0.001511    | 20.73         | 0.01853      | 0.01938     | 0.0784         | 0.9143                 | 0.006101     | 639.85  | -57518.0012357 |
| KLAYUSDT    | 0.001227      | 0.001102    | 65.33         | 0.01428      | 0.01853     | 0.1233         | 0.9115                 | 0.006385     | 578.85  | -57518.0012266 |
| GTCUSDT     | 0.001207      | 0.00117     | 57.0          | 0.01842      | 0.01862     | 0.09245        | 0.9117                 | 0.004949     | 701.85  | -57518.0012073 |
| FILUSDT     | 0.001196      | 0.001664    | 46.58         | 0.006503     | 0.006662    | 0.1362         | 0.9609                 | 0.001432     | 939.75  | -57518.0011964 |
| GALAUSDT    | 0.001188      | 0.002117    | 33.2          | 0.008301     | 0.008645    | 0.1261         | 0.9322                 | 0.002211     | 602.85  | -57518.0011881 |
| ONEUSDT     | 0.001118      | 0.00238     | 34.3          | 0.01407      | 0.01884     | 0.1037         | 0.9044                 | 0.006336     | 786.71  | -57518.001118  |
| ZRXUSDT     | 0.001117      | 0.0014      | 49.15         | 0.01328      | 0.01282     | 0.1372         | 0.9276                 | 0.002806     | 1053.62 | -57518.0011173 |
| ZECUSDT     | 0.001107      | 0.00173     | 80.52         | 0.01562      | 0.01985     | 0.07911        | 0.9001                 | 0.006426     | 1193.66 | -57518.0011068 |
| BATUSDT     | 0.001102      | 0.001645    | 58.27         | 0.01895      | 0.01746     | 0.0465         | 0.9076                 | 0.006103     | 1185.66 | -57518.0011024 |
| ZENUSDT     | 0.001102      | 0.002538    | 57.03         | 0.009285     | 0.01068     | 0.1451         | 0.9241                 | 0.002592     | 900.71  | -57518.0011018 |
| ETCUSDT     | 0.0011        | 0.002012    | 61.22         | 0.01195      | 0.018       | 0.05859        | 0.861                  | 0.006539     | 1213.66 | -57518.0010997 |
| BNBUSDT     | 0.001093      | 0.001246    | 72.78         | 0.01474      | 0.01952     | 0.02508        | 0.875                  | 0.006814     | 1186.66 | -57518.0010931 |
| EOSUSDT     | 0.001088      | 0.001524    | 62.8          | 0.01301      | 0.01697     | 0.03366        | 0.9129                 | 0.006019     | 1221.66 | -57518.0010885 |
| ONTUSDT     | 0.001068      | 0.001267    | 45.97         | 0.01814      | 0.01953     | 0.02531        | 0.915                  | 0.006657     | 1187.66 | -57518.0010683 |
| BELUSDT     | 0.001028      | 0.00127     | 54.47         | 0.01994      | 0.0197      | 0.109          | 0.9061                 | 0.004142     | 906.71  | -57518.0010284 |
| XLMUSDT     | 0.001002      | 0.001394    | 65.52         | 0.01366      | 0.01964     | 0.129          | 0.8876                 | 0.005658     | 1209.66 | -57518.0010017 |
| LINAUSDT    | 0.0009942     | 0.001341    | 53.33         | 0.01988      | 0.01623     | 0.1112         | 0.9322                 | 0.003602     | 785.71  | -57518.0009942 |
| KNCUSDT     | 0.0009898     | 0.00168     | 83.7          | 0.01438      | 0.01506     | 0.09107        | 0.911                  | 0.003733     | 1055.63 | -57518.0009898 |
| BCHUSDT     | 0.0009694     | 0.001159    | 60.88         | 0.01407      | 0.01525     | 0.1256         | 0.9474                 | 0.002707     | 1229.0  | -57518.0009694 |
| ADAUSDT     | 0.0009679     | 0.001765    | 50.6          | 0.01007      | 0.01035     | 0.1446         | 0.9358                 | 0.002626     | 1198.66 | -57518.0009679 |
| XEMUSDT     | 0.0009576     | 0.001462    | 44.88         | 0.01502      | 0.01619     | 0.1168         | 0.913                  | 0.004956     | 801.71  | -57518.0009576 |
