# note: only symbols with data from (before) 01-05-2021 are used

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                          long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| COMPUSDT  | 0.001405      | 0.001358    | 0.06785      | 56.75         | 0.01854      | 0.01911     | 0.04026        | 0.9852                 | 0.0008118    | 822.0  | -230179.301405 |
| RENUSDT   | 0.001383      | 0.001429    | 0.06922      | 50.55         | 0.01703      | 0.01673     | 0.05588        | 0.9742                 | 0.001489     | 822.0  | -230179.301383 |
| TOMOUSDT  | 0.001382      | 0.001332    | 0.06847      | 69.22         | 0.01688      | 0.01798     | 0.04615        | 0.9749                 | 0.001745     | 822.0  | -230179.301382 |
| CELRUSDT  | 0.001382      | 0.001939    | 0.06993      | 60.92         | 0.01635      | 0.01873     | 0.02899        | 0.9605                 | 0.001839     | 822.0  | -230179.301382 |
| ALICEUSDT | 0.001339      | 0.002032    | 0.06687      | 56.35         | 0.01596      | 0.01609     | 0.01225        | 0.9891                 | 0.0006731    | 822.0  | -230179.301339 |
| REEFUSDT  | 0.001324      | 0.001663    | 0.06981      | 85.95         | 0.01285      | 0.01342     | 0.04073        | 0.9807                 | 0.001017     | 822.0  | -230179.301324 |
| BLZUSDT   | 0.001295      | 0.001559    | 0.06798      | 69.23         | 0.01687      | 0.01937     | 0.04016        | 0.9189                 | 0.00241      | 822.0  | -230179.301295 |
| HOTUSDT   | 0.001289      | 0.00165     | 0.0694       | 60.73         | 0.01238      | 0.01303     | 0.006829       | 0.9804                 | 0.0009221    | 822.0  | -230179.301289 |
| CTKUSDT   | 0.001288      | 0.001908    | 0.06993      | 65.4          | 0.014        | 0.01973     | 0.02407        | 0.9417                 | 0.002045     | 822.0  | -230179.301288 |
| ONTUSDT   | 0.001221      | 0.001388    | 0.06952      | 88.17         | 0.01538      | 0.01443     | 0.02559        | 0.9808                 | 0.001219     | 822.0  | -230179.301221 |
| ZECUSDT   | 0.001209      | 0.001419    | 0.06961      | 68.38         | 0.01681      | 0.01875     | 0.02763        | 0.9807                 | 0.001215     | 822.0  | -230179.301209 |
| FILUSDT   | 0.001158      | 0.00133     | 0.0677       | 86.3          | 0.01665      | 0.01945     | 0.03313        | 0.9681                 | 0.001459     | 822.0  | -230179.301158 |
| XEMUSDT   | 0.001155      | 0.001354    | 0.06972      | 79.65         | 0.01174      | 0.0154      | 0.02735        | 0.9727                 | 0.00154      | 822.0  | -230179.301155 |
| DASHUSDT  | 0.001132      | 0.001172    | 0.0665       | 82.6          | 0.01675      | 0.01667     | 0.04706        | 0.9826                 | 0.000863     | 822.0  | -230179.301132 |
| ONEUSDT   | 0.001132      | 0.002102    | 0.06917      | 90.08         | 0.01665      | 0.01814     | 0.03364        | 0.9743                 | 0.001661     | 822.0  | -230179.301132 |
| ICXUSDT   | 0.001128      | 0.001404    | 0.06904      | 68.37         | 0.01931      | 0.01983     | 0.05704        | 0.9625                 | 0.001462     | 822.0  | -230179.301128 |
| IOSTUSDT  | 0.001122      | 0.001349    | 0.06761      | 77.58         | 0.01372      | 0.01586     | 0.02617        | 0.975                  | 0.001337     | 822.0  | -230179.301122 |
| SUSHIUSDT | 0.001122      | 0.001849    | 0.06884      | 78.32         | 0.01302      | 0.01379     | 0.04135        | 0.9791                 | 0.001061     | 822.0  | -230179.301122 |
| SFPUSDT   | 0.001114      | 0.001307    | 0.06921      | 80.28         | 0.0166       | 0.01987     | 0.05995        | 0.9627                 | 0.001259     | 822.0  | -230179.301114 |
| IOTAUSDT  | 0.001107      | 0.001607    | 0.06913      | 71.68         | 0.01109      | 0.01131     | 0.01087        | 0.9807                 | 0.0009704    | 822.0  | -230179.301107 |
| FLMUSDT   | 0.001101      | 0.001573    | 0.06901      | 84.12         | 0.0192       | 0.01987     | 0.0402         | 0.9449                 | 0.001961     | 822.0  | -230179.301101 |
| CRVUSDT   | 0.001097      | 0.001716    | 0.06806      | 82.83         | 0.01399      | 0.01606     | 0.031          | 0.9722                 | 0.001408     | 822.0  | -230179.301097 |
| DGBUSDT   | 0.001096      | 0.001707    | 0.06985      | 77.58         | 0.0115       | 0.01074     | 0.02239        | 0.9811                 | 0.0009383    | 822.0  | -230179.301096 |
| 1INCHUSDT | 0.001082      | 0.001568    | 0.06729      | 94.48         | 0.01517      | 0.01749     | 0.02172        | 0.9571                 | 0.001442     | 822.0  | -230179.301082 |
| ENJUSDT   | 0.001058      | 0.001605    | 0.06937      | 78.27         | 0.01511      | 0.01862     | 0.03926        | 0.9759                 | 0.001858     | 822.0  | -230179.301058 |
| LINKUSDT  | 0.001056      | 0.001589    | 0.06957      | 75.77         | 0.01145      | 0.01085     | 0.02059        | 0.9885                 | 0.0008082    | 822.0  | -230179.301056 |
| NEOUSDT   | 0.001043      | 0.001239    | 0.06921      | 86.17         | 0.01587      | 0.01503     | 0.04944        | 0.9788                 | 0.001193     | 822.0  | -230179.301043 |
| GRTUSDT   | 0.001022      | 0.00154     | 0.06964      | 85.93         | 0.01646      | 0.01871     | 0.04005        | 0.962                  | 0.001923     | 822.0  | -230179.301022 |
| HBARUSDT  | 0.00102       | 0.001696    | 0.0629       | 68.65         | 0.0111       | 0.01275     | 0.0471         | 0.9734                 | 0.001214     | 822.0  | -230179.30102  |
| TRBUSDT   | 0.0009911     | 0.001606    | 0.06944      | 78.82         | 0.01971      | 0.01959     | 0.04803        | 0.9716                 | 0.001516     | 822.0  | -230179.300991 |
| QTUMUSDT  | 0.0009378     | 0.001154    | 0.06986      | 68.32         | 0.01629      | 0.01836     | 0.0442         | 0.9821                 | 0.001339     | 822.0  | -230179.300938 |
| ADAUSDT   | 0.0009318     | 0.0009328   | 0.06936      | 58.9          | 0.01828      | 0.0198      | 0.07148        | 0.9756                 | 0.001426     | 822.0  | -230179.300932 |
| DENTUSDT  | 0.0008934     | 0.001274    | 0.06955      | 70.25         | 0.01692      | 0.01912     | 0.05828        | 0.9715                 | 0.001824     | 822.0  | -230179.300893 |
| KNCUSDT   | 0.0008877     | 0.001185    | 0.06884      | 68.07         | 0.01828      | 0.01993     | 0.08073        | 0.9715                 | 0.001797     | 822.0  | -230179.300888 |
| XTZUSDT   | 0.0008618     | 0.001511    | 0.06993      | 75.75         | 0.01249      | 0.01142     | 0.01947        | 0.9842                 | 0.0008814    | 822.0  | -230179.300862 |
