+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| AVAXUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 88.83  | -18040.0 |
| UNIUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 89.33  | -18040.0 |
| ADAUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 112.46 | -18040.0 |
| DYDXUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 53.67  | -18040.0 |
| ETCUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 113.96 | -18040.0 |
| CHZUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 76.83  | -18040.0 |
| ARUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 51.88  | -18040.0 |
| SOLUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 89.75  | -18040.0 |
| FTMUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 88.75  | -18040.0 |
| ENSUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 45.58  | -18040.0 |
| COTIUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 72.04  | -18040.0 |
| HNTUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 88.33  | -18040.0 |
| ZECUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 111.96 | -18040.0 |
| LINKUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 113.83 | -18040.0 |
| ENJUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 88.25  | -18040.0 |
| THETAUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 100.75 | -18040.0 |
| DOTUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 92.04  | -18040.0 |
| DOGEUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 96.33  | -18040.0 |
| ONEUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 71.25  | -18040.0 |
| GALAUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 52.88  | -18040.0 |
| CRVUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 91.04  | -18040.0 |
| AAVEUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 86.54  | -18040.0 |
| VETUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 111.04 | -18040.0 |
| OPUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 27.21  | -18040.0 |
| SANDUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 76.46  | -18040.0 |
| ZILUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 98.54  | -18040.0 |
| XMRUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 112.12 | -18040.0 |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+

