+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| COTIUSDT      | 0.001166      | 0.002258    | 0.06908      | 25.55         | 0.01175      | 0.01551     | 0.09828        | 0.8695                 | 0.007141     | 840.71 | -480179.301166 |
| KEYUSDT       | 0.001164      | 0.001199    | 0.04326      | 30.65         | 0.009849     | 0.009182    | 0.0            | 0.9758                 | 0.002941     | 35.5   | -480179.301164 |
| CFXUSDT       | 0.001151      | 0.0015      | 0.06777      | 42.8          | 0.0156       | 0.01391     | 0.0242         | 0.9545                 | 0.004979     | 128.39 | -480179.301151 |
| IOSTUSDT      | 0.001146      | 0.001469    | 0.06503      | 48.72         | 0.01418      | 0.01279     | 0.01456        | 0.949                  | 0.003019     | 905.0  | -480179.301146 |
| EOSUSDT       | 0.00114       | 0.001265    | 0.06443      | 41.28         | 0.01143      | 0.009518    | 0.01133        | 0.9553                 | 0.002262     | 905.0  | -480179.30114  |
| FILUSDT       | 0.001138      | 0.001051    | 0.06868      | 59.05         | 0.01794      | 0.01628     | 0.06303        | 0.9166                 | 0.005326     | 905.0  | -480179.301138 |
| OPUSDT        | 0.001136      | 0.001804    | 0.06819      | 58.67         | 0.01154      | 0.01294     | 0.03977        | 0.9415                 | 0.005505     | 392.41 | -480179.301136 |
| COMPUSDT      | 0.001123      | 0.001649    | 0.06934      | 59.95         | 0.01285      | 0.01902     | 0.02068        | 0.8927                 | 0.008189     | 905.0  | -480179.301123 |
| DASHUSDT      | 0.00112       | 0.001208    | 0.06684      | 33.82         | 0.01772      | 0.01537     | 0.06043        | 0.9107                 | 0.004603     | 905.0  | -480179.30112  |
| ANKRUSDT      | 0.001115      | 0.001676    | 0.06031      | 59.97         | 0.01041      | 0.0114      | 0.04319        | 0.9227                 | 0.004391     | 883.71 | -480179.301115 |
| OGNUSDT       | 0.001111      | 0.001323    | 0.06293      | 52.17         | 0.01986      | 0.01973     | 0.06785        | 0.8863                 | 0.005259     | 818.71 | -480179.301111 |
| LINKUSDT      | 0.00111       | 0.001627    | 0.06817      | 50.33         | 0.01206      | 0.01673     | 0.03932        | 0.9012                 | 0.00696      | 905.0  | -480179.30111  |
| UMAUSDT       | 0.00111       | 0.001811    | 0.06071      | 39.58         | 0.009567     | 0.008472    | 0.01349        | 0.9923                 | 0.001007     | 49.48  | -480179.30111  |
| ARBUSDT       | 0.001102      | 0.001666    | 0.05806      | 46.42         | 0.0104       | 0.01011     | 0.01563        | 0.9814                 | 0.001872     | 97.37  | -480179.301102 |
| CTKUSDT       | 0.00109       | 0.001836    | 0.06808      | 62.53         | 0.01085      | 0.01213     | 0.01091        | 0.8974                 | 0.004607     | 905.0  | -480179.30109  |
| ONTUSDT       | 0.001083      | 0.001009    | 0.06495      | 45.57         | 0.01884      | 0.01585     | 0.06141        | 0.9198                 | 0.004949     | 905.0  | -480179.301083 |
| ICPUSDT       | 0.001077      | 0.0008785   | 0.05914      | 30.45         | 0.01086      | 0.009944    | 0.09276        | 0.9593                 | 0.003156     | 274.89 | -480179.301077 |
| ZENUSDT       | 0.001076      | 0.001553    | 0.06913      | 49.6          | 0.0157       | 0.01798     | 0.02554        | 0.8777                 | 0.006614     | 905.0  | -480179.301076 |
| ZECUSDT       | 0.001069      | 0.001647    | 0.06854      | 79.9          | 0.01248      | 0.01262     | 0.0164         | 0.9053                 | 0.003919     | 905.0  | -480179.301069 |
| ENJUSDT       | 0.001069      | 0.001043    | 0.06031      | 57.28         | 0.01773      | 0.01911     | 0.02517        | 0.8779                 | 0.005615     | 905.0  | -480179.301069 |
| BNXUSDT       | 0.001066      | 0.001539    | 0.05942      | 40.9          | 0.01315      | 0.0123      | 0.0082         | 0.9805                 | 0.001574     | 126.38 | -480179.301066 |
| THETAUSDT     | 0.001064      | 0.001884    | 0.06561      | 53.4          | 0.01071      | 0.01726     | 0.03728        | 0.8733                 | 0.007245     | 905.0  | -480179.301064 |
| DGBUSDT       | 0.001054      | 0.001962    | 0.06894      | 41.88         | 0.01295      | 0.01801     | 0.02517        | 0.8641                 | 0.007225     | 798.85 | -480179.301054 |
| AGIXUSDT      | 0.001048      | 0.001488    | 0.06709      | 31.85         | 0.01204      | 0.01057     | 0.06268        | 0.9646                 | 0.003604     | 132.4  | -480179.301048 |
| ICXUSDT       | 0.00104       | 0.001388    | 0.06981      | 50.1          | 0.01302      | 0.01787     | 0.03547        | 0.8847                 | 0.007516     | 905.0  | -480179.30104  |
| UNIUSDT       | 0.001035      | 0.001541    | 0.06996      | 50.32         | 0.01309      | 0.01781     | 0.02262        | 0.8918                 | 0.006898     | 905.0  | -480179.301035 |
| NEARUSDT      | 0.001031      | 0.001738    | 0.06022      | 46.92         | 0.01266      | 0.01922     | 0.02012        | 0.8788                 | 0.007905     | 905.0  | -480179.301031 |
| IMXUSDT       | 0.001028      | 0.001657    | 0.05531      | 41.4          | 0.01003      | 0.01021     | 0.0246         | 0.9408                 | 0.003654     | 502.85 | -480179.301028 |
| MANAUSDT      | 0.001022      | 0.001751    | 0.06161      | 51.63         | 0.009352     | 0.014       | 0.02937        | 0.8948                 | 0.0057       | 835.71 | -480179.301022 |
| WAVESUSDT     | 0.001012      | 0.001476    | 0.05946      | 48.4          | 0.01088      | 0.01942     | 0.04549        | 0.856                  | 0.007296     | 905.0  | -480179.301012 |
| PHBUSDT       | 0.001002      | 0.001312    | 0.06541      | 38.63         | 0.01196      | 0.009845    | 0.07301        | 0.9769                 | 0.002334     | 132.39 | -480179.301002 |
| FTMUSDT       | 0.0009876     | 0.001725    | 0.06856      | 59.67         | 0.01595      | 0.01916     | 0.02558        | 0.8855                 | 0.00809      | 905.0  | -480179.300988 |
| XLMUSDT       | 0.0009788     | 0.0009077   | 0.06255      | 52.12         | 0.0121       | 0.01344     | 0.04401        | 0.9385                 | 0.002309     | 905.0  | -480179.300979 |
| SKLUSDT       | 0.0009776     | 0.001547    | 0.06689      | 28.55         | 0.01545      | 0.01914     | 0.07577        | 0.8779                 | 0.007773     | 905.0  | -480179.300978 |
| SNXUSDT       | 0.0009711     | 0.001548    | 0.06992      | 49.82         | 0.01497      | 0.01878     | 0.08475        | 0.8743                 | 0.008517     | 905.0  | -480179.300971 |
| WOOUSDT       | 0.0009674     | 0.001171    | 0.0432       | 51.85         | 0.01472      | 0.01762     | 0.02241        | 0.8855                 | 0.006313     | 446.85 | -480179.300967 |
| UNFIUSDT      | 0.0009609     | 0.001113    | 0.05958      | 57.32         | 0.01848      | 0.01837     | 0.01592        | 0.8864                 | 0.005016     | 859.71 | -480179.300961 |
| RVNUSDT       | 0.0009514     | 0.001711    | 0.06937      | 36.95         | 0.009167     | 0.01009     | 0.01108        | 0.9342                 | 0.004523     | 855.71 | -480179.300951 |
| ZRXUSDT       | 0.0009449     | 0.001466    | 0.0699       | 50.57         | 0.01713      | 0.01668     | 0.0489         | 0.9063                 | 0.006425     | 905.0  | -480179.300945 |
| MINAUSDT      | 0.0009412     | 0.001198    | 0.05499      | 40.37         | 0.008992     | 0.007827    | 0.008531       | 0.9796                 | 0.002034     | 141.54 | -480179.300941 |
| ADAUSDT       | 0.0009404     | 0.001819    | 0.06986      | 49.37         | 0.01027      | 0.01818     | 0.0786         | 0.9075                 | 0.008291     | 905.0  | -480179.30094  |
| APTUSDT       | 0.000937      | 0.001226    | 0.05987      | 56.52         | 0.01098      | 0.01602     | 0.04708        | 0.9005                 | 0.006323     | 252.92 | -480179.300937 |
| CRVUSDT       | 0.0009314     | 0.001643    | 0.06963      | 52.05         | 0.0146       | 0.01816     | 0.03968        | 0.905                  | 0.007709     | 905.0  | -480179.300931 |
| REEFUSDT      | 0.0009295     | 0.001363    | 0.05454      | 46.8          | 0.01372      | 0.01642     | 0.02325        | 0.8903                 | 0.005903     | 856.7  | -480179.300929 |
| ALPHAUSDT     | 0.0009278     | 0.001323    | 0.06211      | 58.6          | 0.01638      | 0.01993     | 0.05751        | 0.8752                 | 0.007813     | 905.0  | -480179.300928 |
| RENUSDT       | 0.0009252     | 0.00106     | 0.04144      | 54.95         | 0.01667      | 0.01818     | 0.0137         | 0.9153                 | 0.005533     | 905.0  | -480179.300925 |
| FXSUSDT       | 0.0009242     | 0.0009014   | 0.05571      | 54.4          | 0.009082     | 0.008898    | 0.01915        | 0.9625                 | 0.003099     | 159.87 | -480179.300924 |
| ASTRUSDT      | 0.0009225     | 0.001493    | 0.06036      | 32.4          | 0.009108     | 0.008637    | 0.01272        | 0.9699                 | 0.002286     | 134.89 | -480179.300922 |
| ARPAUSDT      | 0.0009149     | 0.0009297   | 0.06014      | 59.98         | 0.01505      | 0.01657     | 0.05087        | 0.916                  | 0.00483      | 617.85 | -480179.300915 |
| 1INCHUSDT     | 0.0009047     | 0.001287    | 0.04839      | 53.98         | 0.01302      | 0.01783     | 0.007891       | 0.9028                 | 0.006203     | 905.0  | -480179.300905 |
| GALAUSDT      | 0.0009042     | 0.001329    | 0.04129      | 61.33         | 0.01274      | 0.0155      | 0.00945        | 0.9127                 | 0.005576     | 648.85 | -480179.300904 |
| XMRUSDT       | 0.0008762     | 0.0012      | 0.06721      | 52.33         | 0.01155      | 0.01881     | 0.03099        | 0.8881                 | 0.007655     | 905.0  | -480179.300876 |
| SANDUSDT      | 0.0008747     | 0.001877    | 0.05892      | 71.22         | 0.01068      | 0.01512     | 0.03477        | 0.8908                 | 0.005919     | 884.71 | -480179.300875 |
| STORJUSDT     | 0.000864      | 0.001582    | 0.06126      | 67.12         | 0.01607      | 0.0171      | 0.09853        | 0.8866                 | 0.006585     | 905.0  | -480179.300864 |
| MATICUSDT     | 0.0008608     | 0.001761    | 0.05881      | 33.47         | 0.01059      | 0.01084     | 0.01495        | 0.9318                 | 0.004366     | 905.0  | -480179.300861 |
| STMXUSDT      | 0.0008551     | 0.001278    | 0.06884      | 51.25         | 0.01517      | 0.01843     | 0.02019        | 0.8905                 | 0.007483     | 828.71 | -480179.300855 |
| AAVEUSDT      | 0.0008485     | 0.001785    | 0.06922      | 73.17         | 0.01541      | 0.01986     | 0.02125        | 0.9007                 | 0.007897     | 905.0  | -480179.300849 |
| LUNA2USDT     | 0.0008369     | 0.001117    | 0.0572       | 25.13         | 0.01426      | 0.01338     | 0.04851        | 0.975                  | 0.001795     | 291.87 | -480179.300837 |
| ENSUSDT       | 0.0008278     | 0.0009621   | 0.06641      | 47.2          | 0.01591      | 0.01625     | 0.01974        | 0.9219                 | 0.005619     | 575.85 | -480179.300828 |
| CHRUSDT       | 0.0008269     | 0.001516    | 0.07         | 54.25         | 0.01452      | 0.01799     | 0.02382        | 0.8996                 | 0.007666     | 838.71 | -480179.300827 |
| ROSEUSDT      | 0.0008242     | 0.001303    | 0.05038      | 39.37         | 0.009262     | 0.01413     | 0.04099        | 0.9071                 | 0.005426     | 544.85 | -480179.300824 |
| HFTUSDT       | 0.0008225     | 0.001174    | 0.06433      | 17.95         | 0.0116       | 0.009591    | 0.03871        | 0.9773                 | 0.001958     | 83.5   | -480179.300823 |
| ETCUSDT       | 0.0008158     | 0.001502    | 0.06927      | 80.3          | 0.01182      | 0.01477     | 0.04507        | 0.9127                 | 0.006089     | 905.0  | -480179.300816 |
| ONEUSDT       | 0.0008092     | 0.001587    | 0.04739      | 62.27         | 0.0132       | 0.01466     | 0.05428        | 0.9055                 | 0.005426     | 832.71 | -480179.300809 |
| RSRUSDT       | 0.0008059     | 0.001163    | 0.03723      | 63.57         | 0.01107      | 0.01362     | 0.02898        | 0.9293                 | 0.004672     | 905.0  | -480179.300806 |
| ACHUSDT       | 0.0007686     | 0.001381    | 0.04389      | 36.28         | 0.01322      | 0.01066     | 0.01035        | 0.9643                 | 0.002848     | 126.39 | -480179.300769 |
| XTZUSDT       | 0.0007689     | 0.001146    | 0.06993      | 82.62         | 0.01279      | 0.01673     | 0.01675        | 0.9182                 | 0.006885     | 905.0  | -480179.300769 |
| IOTAUSDT      | 0.0007663     | 0.000943    | 0.05862      | 56.65         | 0.016        | 0.01919     | 0.02145        | 0.8893                 | 0.006911     | 905.0  | -480179.300766 |
| BATUSDT       | 0.0007603     | 0.001261    | 0.06582      | 48.25         | 0.01262      | 0.01995     | 0.07338        | 0.8786                 | 0.007977     | 905.0  | -480179.30076  |
| SOLUSDT       | 0.0007568     | 0.002066    | 0.06897      | 58.33         | 0.01396      | 0.01497     | 0.072          | 0.8908                 | 0.00514      | 905.0  | -480179.300757 |
| APEUSDT       | 0.0007565     | 0.001095    | 0.04469      | 56.62         | 0.01312      | 0.01321     | 0.03038        | 0.9305                 | 0.003687     | 468.37 | -480179.300756 |
| EGLDUSDT      | 0.0007471     | 0.001767    | 0.06413      | 60.22         | 0.01158      | 0.01902     | 0.0445         | 0.8887                 | 0.007696     | 905.0  | -480179.300747 |
| TRXUSDT       | 0.0007376     | 0.0009965   | 0.06559      | 43.32         | 0.008678     | 0.0129      | 0.06945        | 0.9047                 | 0.005035     | 905.0  | -480179.300738 |
| JASMYUSDT     | 0.0007252     | 0.0009356   | 0.04392      | 58.77         | 0.01443      | 0.01352     | 0.01121        | 0.9771                 | 0.001563     | 434.85 | -480179.300725 |
| MAGICUSDT     | 0.0007225     | 0.001105    | 0.03105      | 57.32         | 0.01399      | 0.01103     | 0.02273        | 0.987                  | 0.0009628    | 154.87 | -480179.300722 |
| AMBUSDT       | 0.0007121     | 0.001385    | 0.06527      | 42.25         | 0.01396      | 0.01154     | 0.01182        | 0.9664                 | 0.003646     | 90.5   | -480179.300712 |
| AVAXUSDT      | 0.0006981     | 0.001716    | 0.0653       | 59.65         | 0.01524      | 0.01573     | 0.05282        | 0.899                  | 0.005122     | 905.0  | -480179.300698 |
| LEVERUSDT     | 0.0006918     | 0.000889    | 0.05281      | 46.25         | 0.01172      | 0.01107     | 0.01181        | 0.9737                 | 0.002206     | 90.49  | -480179.300692 |
| ZILUSDT       | 0.000683      | 0.001092    | 0.0689       | 60.32         | 0.01518      | 0.01614     | 0.03862        | 0.9079                 | 0.006655     | 905.0  | -480179.300683 |
| CVXUSDT       | 0.0006815     | 0.0007227   | 0.06881      | 65.68         | 0.01087      | 0.01229     | 0.01704        | 0.9307                 | 0.004965     | 279.49 | -480179.300681 |
| CELOUSDT      | 0.0006735     | 0.001249    | 0.05596      | 55.32         | 0.01161      | 0.01864     | 0.06087        | 0.8885                 | 0.007246     | 639.85 | -480179.300673 |
| ALGOUSDT      | 0.000666      | 0.001452    | 0.06508      | 54.12         | 0.01351      | 0.01453     | 0.07792        | 0.8927                 | 0.005983     | 905.0  | -480179.300666 |
| QTUMUSDT      | 0.0006547     | 0.001001    | 0.06845      | 84.43         | 0.01671      | 0.01788     | 0.02678        | 0.8937                 | 0.006375     | 905.0  | -480179.300655 |
| BALUSDT       | 0.000648      | 0.0009004   | 0.06844      | 51.42         | 0.01623      | 0.01843     | 0.02409        | 0.8816                 | 0.006896     | 905.0  | -480179.300648 |
| PEOPLEUSDT    | 0.0006397     | 0.001293    | 0.06075      | 49.27         | 0.01516      | 0.01882     | 0.06246        | 0.8987                 | 0.007341     | 551.83 | -480179.30064  |
